#   x       y(x)            y(x)^2       classical p(x)      V
 -5.706  6.18045151e-08  3.81979809e-15  0.00000000e+00   16.279218
 -5.705  6.21820749e-08  3.86661044e-15  0.00000000e+00   16.273512
 -5.704  6.25615963e-08  3.91395334e-15  0.00000000e+00   16.267808
 -5.703  6.29430907e-08  3.96183267e-15  0.00000000e+00   16.262105
 -5.702  6.33265693e-08  4.01025438e-15  0.00000000e+00   16.256402
 -5.701  6.37120435e-08  4.05922449e-15  0.00000000e+00   16.250701
 -5.700  6.40995247e-08  4.10874907e-15  0.00000000e+00   16.245000
 -5.699  6.44890244e-08  4.15883427e-15  0.00000000e+00   16.239300
 -5.698  6.48805542e-08  4.20948631e-15  0.00000000e+00   16.233602
 -5.697  6.52741255e-08  4.26071147e-15  0.00000000e+00   16.227905
 -5.696  6.56697502e-08  4.31251609e-15  0.00000000e+00   16.222208
 -5.695  6.60674397e-08  4.36490659e-15  0.00000000e+00   16.216513
 -5.694  6.64672060e-08  4.41788948e-15  0.00000000e+00   16.210818
 -5.693  6.68690608e-08  4.47147129e-15  0.00000000e+00   16.205125
 -5.692  6.72730160e-08  4.52565868e-15  0.00000000e+00   16.199432
 -5.691  6.76790834e-08  4.58045833e-15  0.00000000e+00   16.193741
 -5.690  6.80872752e-08  4.63587704e-15  0.00000000e+00   16.188050
 -5.689  6.84976032e-08  4.69192165e-15  0.00000000e+00   16.182361
 -5.688  6.89100797e-08  4.74859909e-15  0.00000000e+00   16.176672
 -5.687  6.93247168e-08  4.80591636e-15  0.00000000e+00   16.170985
 -5.686  6.97415266e-08  4.86388053e-15  0.00000000e+00   16.165298
 -5.685  7.01605215e-08  4.92249877e-15  0.00000000e+00   16.159613
 -5.684  7.05817137e-08  4.98177831e-15  0.00000000e+00   16.153928
 -5.683  7.10051157e-08  5.04172646e-15  0.00000000e+00   16.148245
 -5.682  7.14307400e-08  5.10235061e-15  0.00000000e+00   16.142562
 -5.681  7.18585989e-08  5.16365824e-15  0.00000000e+00   16.136881
 -5.680  7.22887052e-08  5.22565690e-15  0.00000000e+00   16.131200
 -5.679  7.27210714e-08  5.28835422e-15  0.00000000e+00   16.125521
 -5.678  7.31557101e-08  5.35175793e-15  0.00000000e+00   16.119842
 -5.677  7.35926343e-08  5.41587582e-15  0.00000000e+00   16.114165
 -5.676  7.40318566e-08  5.48071580e-15  0.00000000e+00   16.108488
 -5.675  7.44733900e-08  5.54628582e-15  0.00000000e+00   16.102812
 -5.674  7.49172474e-08  5.61259396e-15  0.00000000e+00   16.097138
 -5.673  7.53634418e-08  5.67964836e-15  0.00000000e+00   16.091465
 -5.672  7.58119862e-08  5.74745726e-15  0.00000000e+00   16.085792
 -5.671  7.62628939e-08  5.81602898e-15  0.00000000e+00   16.080121
 -5.670  7.67161778e-08  5.88537194e-15  0.00000000e+00   16.074450
 -5.669  7.71718515e-08  5.95549466e-15  0.00000000e+00   16.068781
 -5.668  7.76299281e-08  6.02640573e-15  0.00000000e+00   16.063112
 -5.667  7.80904210e-08  6.09811385e-15  0.00000000e+00   16.057444
 -5.666  7.85533437e-08  6.17062780e-15  0.00000000e+00   16.051778
 -5.665  7.90187096e-08  6.24395647e-15  0.00000000e+00   16.046112
 -5.664  7.94865325e-08  6.31810885e-15  0.00000000e+00   16.040448
 -5.663  7.99568259e-08  6.39309400e-15  0.00000000e+00   16.034785
 -5.662  8.04296035e-08  6.46892111e-15  0.00000000e+00   16.029122
 -5.661  8.09048791e-08  6.54559946e-15  0.00000000e+00   16.023461
 -5.660  8.13826665e-08  6.62313841e-15  0.00000000e+00   16.017800
 -5.659  8.18629798e-08  6.70154746e-15  0.00000000e+00   16.012140
 -5.658  8.23458328e-08  6.78083617e-15  0.00000000e+00   16.006482
 -5.657  8.28312395e-08  6.86101424e-15  0.00000000e+00   16.000825
 -5.656  8.33192142e-08  6.94209146e-15  0.00000000e+00   15.995168
 -5.655  8.38097710e-08  7.02407771e-15  0.00000000e+00   15.989513
 -5.654  8.43029241e-08  7.10698301e-15  0.00000000e+00   15.983858
 -5.653  8.47986879e-08  7.19081747e-15  0.00000000e+00   15.978205
 -5.652  8.52970768e-08  7.27559131e-15  0.00000000e+00   15.972552
 -5.651  8.57981052e-08  7.36131485e-15  0.00000000e+00   15.966900
 -5.650  8.63017877e-08  7.44799855e-15  0.00000000e+00   15.961250
 -5.649  8.68081388e-08  7.53565296e-15  0.00000000e+00   15.955601
 -5.648  8.73171733e-08  7.62428875e-15  0.00000000e+00   15.949952
 -5.647  8.78289059e-08  7.71391671e-15  0.00000000e+00   15.944305
 -5.646  8.83433514e-08  7.80454774e-15  0.00000000e+00   15.938658
 -5.645  8.88605247e-08  7.89619285e-15  0.00000000e+00   15.933013
 -5.644  8.93804408e-08  7.98886320e-15  0.00000000e+00   15.927368
 -5.643  8.99031147e-08  8.08257004e-15  0.00000000e+00   15.921724
 -5.642  9.04285616e-08  8.17732475e-15  0.00000000e+00   15.916082
 -5.641  9.09567965e-08  8.27313884e-15  0.00000000e+00   15.910440
 -5.640  9.14878349e-08  8.37002393e-15  0.00000000e+00   15.904800
 -5.639  9.20216919e-08  8.46799178e-15  0.00000000e+00   15.899161
 -5.638  9.25583831e-08  8.56705428e-15  0.00000000e+00   15.893522
 -5.637  9.30979239e-08  8.66722343e-15  0.00000000e+00   15.887885
 -5.636  9.36403298e-08  8.76851136e-15  0.00000000e+00   15.882248
